房源编号,名称1,户型,月租,付款方式,租赁方式,面积,朝向,维护,楼层,车位,租期,入住,电梯,描述,地铁站,离地铁站距离,网站,名称,区,街道,小区
房源编号：SH2749095723848179712,整租·金轩公寓,2室1厅,12000,(季付价),整租,114㎡,南,1天前,高楼层/20层,暂无数据,3年以内,2021/6/1,有,"【房源亮点】<br />
小区环境好，闹中取静，交通便利，户型方正1111111111111<br />
<br />
【交通出行】<br />
小区出门没多远就是1徐家汇地铁站，小区出口就有公交站有342路，56路，是您居家的好地方<br />
<br />
【周边配套】<br />
配套设施成熟，吃喝玩乐一体化，近美罗城，医院有龙华医院，银行有工商银行，中国银行<br />
<br />
","1号线,9号线,11号线(花桥-迪士尼),11号线(嘉定北-迪士尼) - 徐家汇",291m,http://sh.lianjia.com/zufang/SH2749095723848179712.html,"
          整租·金轩公寓 2室1厅 南        ",徐汇,徐家汇,金轩公寓
房源编号：SH2747932971754864640,整租·金色港湾,5室3厅,35000,(季付价),整租,232㎡,南,3天前,高楼层/12层,租用车位,2年以内,随时入住,有,"【交通出行】<br />
可办理租赁车位，近期地铁有9\12\4号线，三轨交汇，公交出行：89路斜土路打浦路站，114路中山南二路大木桥路站，17路打浦桥站，45路，隧道八线等<br />
<br />
【周边配套】<br />
位于枫林大区板块，向南临徐汇滨江，黄浦江，向东临黄浦区，向北静安，向西面临徐家汇，小区紧挨黄浦商圈，位于徐汇斜土路商圈，菜场，超市，娱乐设施等配套实施齐全<br />
<br />
【小区介绍】<br />
02年的品质小区，1梯2户， 此小区位于徐汇区近黄浦区的位置，出行有多条地铁线，去往正大乐城，绿地缤纷城，日月光，徐家汇商圈（港汇、美罗城等）都十分便捷。联华超市，银行，医院，娱乐场所，菜市场更是就在旁边，充分满足你的<br />
<br />
",9号线 - 打浦桥,1126m,http://sh.lianjia.com/zufang/SH2747932971754864640.html,"
          整租·金色港湾 5室3厅 复式 南        ",徐汇,斜土路,金色港湾
房源编号：SH2748648362218889216,整租·爱家亚洲花园,2室2厅,10500,(季付价),整租,115㎡,南,7天前,中楼层/22层,暂无数据,3年以内,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2748648362218889216.html,"
          整租·爱家亚洲花园 2室2厅 南        ",浦东,杨东,爱家亚洲花园
房源编号：SH2749185037894426624,整租·虹桥花苑,3室2厅,19000,(季付价),整租,169㎡,南,4天前,低楼层/16层,租用车位,3年以上,随时入住,有,无信息,"10号线(新江湾城-航中路),10号线(新江湾城-虹桥火车站) - 龙溪路",1022m,http://sh.lianjia.com/zufang/SH2749185037894426624.html,"
          整租·虹桥花苑 3室2厅 南        ",闵行,金虹桥,虹桥花苑
房源编号：SH2760976043228798976,整租·芙蓉新村,3室1厅,3800,(季付价),整租,105㎡,南 北,今天,低楼层/6层,暂无数据,暂无数据,随时入住,无,无信息,11号线(花桥-迪士尼) - 安亭,630m,http://sh.lianjia.com/zufang/SH2760976043228798976.html,"
          整租·芙蓉新村 3室1厅 南/北        ",嘉定,安亭,芙蓉新村
房源编号：SH2761034230506471424,整租·江桥万达广场(嘉定),1室1厅,4600,(季付价),整租,55㎡,南,3天前,高楼层/12层,暂无数据,暂无数据,随时入住,有,无信息,13号线 - 金运路,487m,http://sh.lianjia.com/zufang/SH2761034230506471424.html,"
          整租·江桥万达广场(嘉定) 1室1厅 南        ",嘉定,江桥,江桥万达广场(嘉定)
房源编号：SH2760881535635955712,整租·保利翡丽公馆,3室2厅,7300,(季付价),整租,108㎡,南,7天前,低楼层/15层,暂无数据,1年以内,随时入住,有,"【户型介绍】<br />
三开间朝南，南北通透，户型方正，居住舒适度高，每个房间的空间都很大<br />
<br />
【交通出行】<br />
小区位于九号线泗泾地铁口200米，公交步行可达，交通便利....<br />
<br />
【小区介绍】<br />
保利是2016年开发商精装交付的小区，次新房，品质高，物业好，环境优美<br />
<br />
",9号线 - 泗泾,344m,http://sh.lianjia.com/zufang/SH2760881535635955712.html,"
          整租·保利翡丽公馆 3室2厅 南        ",松江,泗泾,保利翡丽公馆
房源编号：SH2760897974933389312,整租·金衡公寓,3室2厅,13600,(季付价),整租,136㎡,南,1天前,高楼层/18层,租用车位,1年以内,2021/5/23,有,"【户型介绍】<br />
三开间朝南，飞机户型，视野开阔，适合一家人居住，正看漕溪公园<br />
<br />
【交通出行】<br />
三条地铁交汇，漕溪路站，漕宝路站，龙漕路站；小区门口300米就是3号线漕溪路地铁站（数据来自百度地图）<br />
<br />
【周边配套】<br />
商场：汇阳广场、宜家家居、日月光；医院：第六人民医院、第八人民医院、远大心胸医院。菜场：漕溪菜场，宏润菜场<br />
<br />
",3号线 - 漕溪路,511m,http://sh.lianjia.com/zufang/SH2760897974933389312.html,"
          整租·金衡公寓 3室2厅 南        ",徐汇,万体馆,金衡公寓
房源编号：SH2760842111300943872,整租·水上新村(奉贤),1室1厅,1500,(季付价),整租,38㎡,南,7天前,低楼层/5层,暂无数据,3年以上,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2760842111300943872.html,"
          整租·水上新村(奉贤) 1室1厅 南        ",奉贤,南桥,水上新村(奉贤)
房源编号：SH2761391277974233088,整租·墨翠里,1室1厅,6000,(季付价),整租,60㎡,南 北,2天前,高楼层/35层,暂无数据,3年以内,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2761391277974233088.html,"
          整租·墨翠里 1室1厅 南/北        ",虹口,江湾镇,墨翠里
房源编号：SH2760862334993317888,整租·紫勋雍邸,2室2厅,31000,(季付价),整租,168㎡,南 北,5天前,低楼层/20层,租用车位,2年以内,随时入住,有,无信息,13号线 - 淮海中路,676m,http://sh.lianjia.com/zufang/SH2760862334993317888.html,"
          整租·紫勋雍邸 2室2厅 南/北        ",黄浦,淮海中路,紫勋雍邸
房源编号：SH2760853915212709888,整租·保翔苑,3室2厅,5000,(季付价),整租,126㎡,南,2天前,低楼层/11层,暂无数据,暂无数据,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2760853915212709888.html,"
          整租·保翔苑 3室2厅 南        ",宝山,罗店,保翔苑
房源编号：SH2760960190462296064,整租·一品国际,2室1厅,9800,(季付价),整租,60㎡,北,12天前,中楼层/7层,暂无数据,暂无数据,随时入住,有,无信息,7号线 - 岚皋路,1028m,http://sh.lianjia.com/zufang/SH2760960190462296064.html,"
          整租·一品国际 2室1厅 北        ",普陀,光新,一品国际
房源编号：SH2761573641673252864,整租·万科启宸,3室2厅,4800,(季付价),整租,95㎡,东南 南 北,6天前,高楼层/17层,暂无数据,1年以内,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2761573641673252864.html,"
          整租·万科启宸 3室2厅 东南/南/北        ",宝山,罗泾,万科启宸
房源编号：SH2761683577342541824,整租·前滩东方逸品,1室2厅,10500,(季付价),整租,58㎡,西南,5天前,中楼层/33层,暂无数据,3年以内,2021/6/1,有,"【房源亮点】<br />
小区少数在租一房，开发商精装交付，品质好，随时入住，一房户型。<br />
<br />
【装修描述】<br />
本小区的房子是开发商统一精装修，带中yang空调，大金品牌。带新风。燃气灶、油烟机、烤箱、 冰箱等家电品牌为smeg，厨房也有压力储水罐和净水器<br />
<br />
【交通出行】<br />
前滩东方逸品位于海阳西路500弄，近东育路、杨思西路，距离南北高架延伸线济阳 路入口/中环入口0.86公里，距离东方体育zhong心地铁站（6、8、11三线交轨） 380米（数据来源：百度地图），交通便利。<br />
<br />
【出租原因】<br />
业主长期出国，空置出租，业主这边诚意出租，长期出租，租期稳定。<br />
<br />
【周边配套】<br />
有上海纽约大学前滩分校，莱佛士医院，基督教涌恩堂，法华学问寺，前滩企业天地 办公楼已崛起，世界500强企业已入驻，在建信德文化center还有前滩休闲公园，前滩体育公园，前滩友城公园，滨江大道（漫步道、跑步道、自行车道）等，适合周末搭帐篷<br />
<br />
【小区介绍】<br />
前滩东方逸品位于海阳西路500弄，近东育路、杨思西路，陆家嘴物业，小区有2幢楼4个楼号组成，有地下三层停车库，电梯直达。小区北边是香格里拉酒店、太古里和前滩中xin，小区南边是上海纽约大学前滩分校（在建）。<br />
<br />
",6号线 - 灵岩南路,365m,http://sh.lianjia.com/zufang/SH2761683577342541824.html,"
          整租·前滩东方逸品 1室2厅 西南        ",浦东,杨思前滩,前滩东方逸品
房源编号：SH2761642610082201600,整租·宜浩公馆,2室2厅,4500,(季付价),整租,56㎡,南 北,2天前,高楼层/6层,暂无数据,1年以内,随时入住,无,"【房源亮点】<br />
精装修拎包入住，户型方正，复式格局，动静分离，适合居家；采光充足，视野开阔，景观房；交通便利，临港全通；配套成熟，有菜市场，各大商超，美食城；业主室内保养很好，配套家具满足您的需求。<br />
<br />
【户型介绍】<br />
本房是精装修复式两房，楼上楼下都有卫生间，方便生活，楼下主要功能间是厨房，餐厅、客厅、卫生间；大客厅朝南，落地窗，采光充足，落地窗外是阳台，阳台还带一个菜地，可以种些自己喜欢的蔬菜。楼上主要功能间是：主卧和次卧，以及卫生间，窗户很大<br />
<br />
【周边配套】<br />
小区地段优越，门口就有公交站，临港全通，想象不到的便利；小区旁边就是美食城，百联商场（高德地图上可见），新天地商场，宜浩商场，方便生活。公园配套：滴水湖、南汇城市公园，春花秋色公园 ，医疗配套：上海市第六人民医院东院（三甲）。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2761642610082201600.html,"
          整租·宜浩公馆 2室2厅 南/北        ",浦东,临港新城,宜浩公馆
房源编号：SH2761702202090192896,整租·棕榈泉花园,4室3厅,39900,(季付价),整租,367㎡,南,2天前,低楼层/3层,暂无数据,暂无数据,随时入住,无,"【房源亮点】<br />
精装修，带墙暖，住家轻办公都可接纳。随时可起租，拎包入住。可长租2-3年。<br />
<br />
【户型介绍】<br />
北进门南花园，花园占地约200平。一期房源，地上三层地下一层，地下室120-130平，层高略低。一楼客厅挑空，餐客厅分离，餐厅可观花园及人工小河，一房榻榻米装修，可供会客娱乐。二楼两房，三楼主卧带大露台。四房均朝南，采光好。户型方正。<br />
<br />
【出租原因】<br />
业主是教育机构老板，因工作原因，该房源将空置，所以将其出租。<br />
<br />
",2号线 - 唐镇,993m,http://sh.lianjia.com/zufang/SH2761702202090192896.html,"
          整租·棕榈泉花园 4室3厅 复式 南        ",浦东,唐镇,棕榈泉花园
房源编号：SH2761605080833589248,整租·平顺路825弄,2室1厅,5200,(季付价),整租,61㎡,南,2天前,中楼层/13层,暂无数据,1年以内,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2761605080833589248.html,"
          整租·平顺路825弄 2室1厅 南        ",静安,彭浦,平顺路825弄
房源编号：SH2761598841320390656,整租·武宁一村,1室1厅,4700,(季付价),整租,23㎡,南,7天前,低楼层/6层,暂无数据,1年以内,2021/5/31,无,"【交通出行】<br />
距离3号、4号、7号线镇坪路站750米左右； 2公交：旁边公交有01路105路、106路、319路、321路、36路、40路、63路、63路区间、742路等 3主要交通枢纽距离上海火车站、上海长途汽车客运总站3公里左右<br />
<br />
【周边配套】<br />
小区环境优雅，东大门边就是12000平的普陀公园，公园前面就是苏州河，茶后饭后可以和家人散步欣赏苏州河美景，陶冶情操！吃喝玩乐也近在咫尺，我格广场、亚新生活广场、乐购超市、环球港等等，医疗服务完善：普陀医院、普陀人民医院等等！<br />
交通出行<br />
<br />
【小区介绍】<br />
配套齐全，小区位于武宁路小 学对 面，接送孩子方便......<br />
<br />
","3号线,4号线,7号线 - 镇坪路",891m,http://sh.lianjia.com/zufang/SH2761598841320390656.html,"
          整租·武宁一村 1室1厅 南        ",普陀,武宁,武宁一村
房源编号：SH2761560220160499712,整租·凌四小区,1室1厅,4300,(季付价),整租,42㎡,南,5天前,高楼层/6层,暂无数据,1年以内,随时入住,无,"【房源亮点】<br />
家具齐全，拎包入住，简单干净，房东人挺好的，相处会很愉快。。。<br />
<br />
【交通出行】<br />
小区周 边生活服务配套较为齐全 公立医院/栖山农贸市场（菜市场）/6号线和在建14号线地铁站/联华超市/农业和中国银行/旭辉新构想广场 配套成熟<br />
<br />
【出租原因】<br />
房东有其他房子住，房间空置，适合一个人或者情侣两个人/一家人居住。<br />
<br />
【周边配套】<br />
小区周 边生活服务配套较为齐全 公立医院/栖山农贸市场（菜市场）/6号线和在建14号线地铁站/联华超市/农业和中国银行/旭辉新构想广场 配套成熟<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2761560220160499712.html,"
          整租·凌四小区 1室1厅 南        ",浦东,洋泾,凌四小区
